Area,name,id,category,location,restaurant
"Wichita, Kansas",Paula's,4da877bd0cb65e9aae68b6f9,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}","(37.62580905, -97.46261061666667)",True
"Wichita, Kansas",Colt Stadium,4bf9bfba1134b713d64f0fc9,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/stadium_football_', 'suffix': '.png'}","(37.56690971353524, -97.36453331832159)",False
"Wichita, Kansas",Kirby Park,4bd4c3787b1876b0dac38986,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_', 'suffix': '.png'}","(37.55540258357433, -97.36695753743328)",False
"Wichita, Kansas",Riggs Park,4bacf5e1f964a5206f1e3be3,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_', 'suffix': '.png'}","(37.567031850620836, -97.36125954072436)",False
"Wichita, Kansas",Clearwater Golf Course,4c5ec67f2815c928c462b867,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/golfcourse_', 'suffix': '.png'}","(37.524715263982415, -97.50149942349394)",False
"Wichita, Kansas",Homeland Stores,4cab823e76d3a09337c72c6b,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}","(37.566204188821374, -97.35332112631377)",True
"Wichita, Kansas",Main Street Liquor,4be35df6660ec92898fbcb3b,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_liquor_', 'suffix': '.png'}","(37.567057069307104, -97.35283613204956)",True
"Wichita, Kansas",Great Wall,4c437cb0f97fbe9ac7e6b930,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}","(37.569791607358496, -97.35180086294223)",True
"Wichita, Kansas",Emprise Bank,4d979c17b188721e06b31437,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/financial_', 'suffix': '.png'}","(37.56833054860596, -97.35161036252975)",False
"Wichita, Kansas",Suki's Sizzler,50d9ecaee4b0487c4b827a63,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/diner_', 'suffix': '.png'}","(37.594913, -97.534849)",True
"Wichita, Kansas",Intrust Bank,4d8a2c1f7139b1f75d04c5d4,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/financial_', 'suffix': '.png'}","(37.5639572574165, -97.348954975605)",False
"Wichita, Kansas",Plagens-Carpenter Park,4c94cc3c94a0236a3ea68f12,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/baseballfield_', 'suffix': '.png'}","(37.57748605830584, -97.34603556490335)",False
"Wichita, Kansas",Rene's Mexican Fast Food,4b7ad8aef964a52085402fe3,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/mexican_', 'suffix': '.png'}","(37.56400327759719, -97.34659233608035)",True
"Wichita, Kansas",Mize's Grocery,4d71053f95acb1f7427b0eb9,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}","(37.51068934016472, -97.49695318021857)",True
"Wichita, Kansas",Casa Martinez,4d4cb104c848721efe3f0be9,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/mexican_', 'suffix': '.png'}","(37.55769580764365, -97.27340097994006)",True
"Wichita, Kansas",Lowe's,4bc88f3792b376b0a39f513a,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/hardware_', 'suffix': '.png'}","(37.578204, -97.2785144)",False
